output_variable,MLAlgo,real_value,predicted_value,mse_list,mae_list,r_sqaured
Avg_Soil_TP50_TempC,WSVM,9.19,9.174160982393298,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,4.687,4.8078255146697675,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,14.15,14.092495056037622,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,0.252,0.3270957711739886,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,4.953,5.048572401643817,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,1.103,1.2546561769453675,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,0.161,0.2553415812978237,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,15.58,15.217260290178952,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,0.982,1.0975692659318135,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,-1.928,-1.8160006083684923,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,10.82,10.955637158711326,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,0.45,0.29455943977602494,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,13.59,13.613621744025316,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,16.1,15.982017913051195,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,13.91,14.125687120367816,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,8.75,8.653012947592785,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,-0.263,-0.17012763577699808,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,9.07,9.018693977867084,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,1.716,1.5756662295110369,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,15.13,14.886474583388434,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,-2.903,-2.843298389210071,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,-0.749,-0.8316568583858039,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,13.91,13.850717154184125,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,-1.779,-1.9325595780391032,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,-0.639,-0.7465521926766643,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,1.34,1.2500487584784183,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,15.66,15.93927986451943,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,10.16,9.858612794017636,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,15.61,15.415228259293897,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,11.23,11.125489090345468,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,14.66,14.617365460595575,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,10.04,9.718230908434373,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,5.595,5.6544008713037925,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,6.866,6.856570276384158,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,4.405,4.548299825091618,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,-0.043,-0.03999512189218635,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,-0.76,-0.6559494971332338,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,4.26,4.309936438436832,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,0.303,0.42580379775325383,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,13.61,14.934557556644158,0.077621362375738,0.1485351325845028,0.9979630799011424
Avg_Soil_TP50_TempC,WSVM,12.32,12.400340003908253,0.077621362375738,0.1485351325845028,0.9979630799011424
