output_variable,MLAlgo,real_value,predicted_value,mse_list,mae_list,r_sqaured
Avg_Soil_TP50_TempC,SVM,3.209,1.0880716986519001,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,3.946,1.030997011826189,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,1.048,2.8418971885304307,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,10.16,15.21359899137899,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,15.76,14.877912675894656,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,12.06,15.56867325918703,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,12.53,15.936370715072993,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,7.861,15.446855705804033,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,15.48,11.161843032361105,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,4.462,1.1342784516905642,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,2.098,2.8215093831615157,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,-0.76,-0.296112387086791,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,13.7,14.37040771535927,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,6.98,-1.4920063310808613,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,0.654,2.9342164401227935,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,1.152,1.6709827131605257,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,0.96,3.909222514828497,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,11.34,14.797539899837393,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,1.191,2.920211794819756,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,-0.105,3.9509235007328023,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,-3.232,-1.7782456666803883,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,8.3,4.870901894027073,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,1.182,1.8401399003283334,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,15.58,13.184324040366828,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,0.395,3.0224746718721276,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,2.441,0.04229225807811243,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,15.66,16.600013283083698,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,9.71,1.0570546285532716,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,5.888,5.2831749956034635,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,6.866,-1.2007522449229056,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,1.34,3.3378136021225853,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,4.687,1.9041057916134339,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,15.37,14.706704038306157,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,5.099,3.011835817473049,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,11.23,5.674582827007954,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,-2.007,-2.723014663714637,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,1.244,2.8118188262556645,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,8.32,14.818390002973654,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,11.59,15.59662558793297,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,0.43,-1.0166734173235303,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,2.491,0.17020249251857766,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,1.887,0.40595868301995797,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,9.07,12.680172936244865,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,7.667,3.690818781402332,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,14.31,12.955100637561284,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,3.073,2.0870181739345464,10.400240040843894,2.4870070570731047,0.7400719089069923
Avg_Soil_TP50_TempC,SVM,15.99,14.66757751061467,10.400240040843894,2.4870070570731047,0.7400719089069923
