output_variable,MLAlgo,real_value,predicted_value,mse_list,mae_list,r_sqaured
Avg_Soil_TP05_TempC,WSVM,22.92,20.770711473259343,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,17.94,18.97192955064361,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,3.1,2.737094200900434,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,-1.25,-1.687008001584129,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,13.95,14.492516563366262,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,17.1,16.799213175120457,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,19.72,20.249315851098995,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,-2.44,-2.3645445123157023,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,-3.33,-3.15701201513786,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,21.35,21.33916517737826,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,19.29,19.189630508465694,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,-1.6,-1.2750839699858565,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,-5.41,-5.318941601276914,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,-0.69,-1.536033007933539,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,1.42,0.5389877191459105,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,-7.99,-7.008426976358552,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,-5.09,-3.634628249947511,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,21.78,21.011078083345836,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,-2.97,-2.930759496936809,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,-4.37,-3.4304891138402445,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,-6.85,-6.677390471985766,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,-5.71,-4.799048155116288,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,9.14,8.095548479169477,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,-5.55,-4.011869640771515,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,20.45,20.052817166556633,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,-3.56,-3.4199305224539502,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,16.37,16.261081889424045,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,-1.29,-4.24160405743228,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,11.18,9.61975024313909,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,20.18,20.85329638228981,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,0.99,0.9814057886522276,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,3.91,3.7765245061048356,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,-0.83,-0.9612464226049684,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,5.36,5.256775154069664,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,16.94,17.373201200747225,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,18.86,18.7652199494815,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,-0.04,-0.46382809762436317,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,1.29,0.8365441042889463,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,18.34,18.97108471941859,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,-6.09,-5.03698451779742,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,21.99,19.842339846320044,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,10.78,11.251366654771626,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,19.61,19.998650557019808,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,20.22,20.833676824304238,1.3079118645082466,0.7866700069233982,0.9851763816239445
Avg_Soil_TP05_TempC,WSVM,1.72,2.2391546430536016,1.3079118645082466,0.7866700069233982,0.9851763816239445
